Trick name,Successful attempts,Unsuccessful attempts
Switch 360 Bigspin Heelflip,1,1
Switch 360 Double Kickflip,16,14
Switch 360 Flip,437,92
Switch 360 Flip Revert,14,10
Switch 360 Shuvit,11,6
Switch 540,1,1
Switch 540 Flip,0,1
Switch Back Foot Kickflip,6,12
Switch Backside 180,16,2
Switch Backside 180 Back Foot Kickflip,4,2
Switch Backside 180 Double Kickflip,1,1
Switch Backside 180 Heelflip,167,50
Switch Backside 180 Kickflip,208,74
Switch Backside 360,39,17
Switch Backside 360 Kickflip,0,1
Switch Backside Bigspin,138,76
Switch Bigspin Double Kickflip,1,4
Switch Bigspin Heelflip,108,57
Switch Bigspin Kickflip,77,44
Switch Double Heelflip,35,33
Switch Double Kickflip,29,14
Switch Front Foot Impossible,1,2
Switch Frontside 180,10,0
Switch Frontside 180 Double Heelflip,0,2
Switch Frontside 180 Heelflip,123,47
Switch Frontside 180 Kickflip,200,55
Switch Frontside 360,129,29
Switch Frontside 360 Heelflip,9,6
Switch Frontside 360 Kickflip,3,6
Switch Frontside 360 Shuvit,20,11
Switch Frontside 540,1,1
Switch Frontside 540 Shuvit,1,1
Switch Frontside Biggerspin,13,12
Switch Frontside Bigspin,268,64
Switch Frontside Bigspin Heelflip,1,1
Switch Frontside Shuvit,139,11
Switch Frontside Shuvit Late Kickflip,3,6
Switch Frontside Shuvit Revert,0,1
Switch Hardflip,137,50
Switch Hardflip Backside 180,0,1
Switch Hardflip Frontside 180,1,2
Switch Heelflip,441,59
Switch Heelflip Backside 180 Body Varial,2,2
Switch Heelflip Backside Body Varial,1,2
Switch Heelflip Frontside Body Varial,3,3
Switch Heelflip Frontside Body Varial Revert,1,1
Switch Impossible,7,8
Switch Inward Heelflip,60,42
Switch Kickflip,412,75
Switch Kickflip Frontside 180 Body Varial,2,0
Switch Kickflip Manual,1,1
Switch Laser Flip,41,24
Switch Late Shuvit,1,1
Switch Pop Shuvit,54,10
Switch Pop Shuvit Revert,3,1
Switch Pressure Flip,2,4
Switch Pressure Hardflip,1,1
Switch Shuvit,23,4
Switch Triple Kickflip,0,1
Switch Varial Double Heelflip,1,2
Switch Varial Heelflip,202,82
Switch Varial Kickflip,88,26
Triple Heelflip,0,0
Triple Kickflip,10,7
Varial Double Heelflip,3,6
Varial Double Kickflip,3,1
Varial Heelflip,279,71
Varial Heelflip Backside 180,6,6
Varial Kickflip,65,20
test,0,0
test2,0,0
